종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"019540","일지테크","KOSDAQ","운송장비·부품","4520","25","0.56","61081020000"
"094820","일진파워","KOSDAQ","건설","11790","110","0.94","177777979110"
"950140","잉글우드랩","KOSDAQ","화학","13540","680","5.29","269010905640"
"049550","잉크테크","KOSDAQ","화학","3705","-15","-0.40","72641256285"
"389020","자람테크놀로지","KOSDAQ","통신장비","112800","-4800","-4.08","699103944000"
"254120","자비스","KOSDAQ","기계·장비","2160","-15","-0.69","66429223200"
"043910","자연과환경","KOSDAQ","비금속","1039","-5","-0.48","84565723823"
"234920","자이글","KOSDAQ","일반전기전자","7400","-70","-0.94","100128734000"
"289220","자이언트스텝","KOSDAQ","오락·문화","9430","-620","-6.17","208608055350"
"174880","장원테크","KOSDAQ","통신장비","2650","0","0.00","11610352250"
"049630","재영솔루텍","KOSDAQ","IT부품","690","10","1.47","57706926630"
"417840","저스템","KOSDAQ","반도체","14750","50","0.34","106925331250"
"110020","전진바이오팜","KOSDAQ","화학","6940","-210","-2.94","55847436140"
"208140","정다운","KOSDAQ","음식료·담배","2840","-15","-0.53","92823258640"
"040420","정상제이엘에스","KOSDAQ","기타서비스","6900","10","0.15","108175108800"
"045510","정원엔시스","KOSDAQ","컴퓨터서비스","1298","30","2.37","41807661016"
"217190","제너셈","KOSDAQ","반도체","13370","-180","-1.33","117243856380"
"095700","제넥신","KOSDAQ","기타서비스","7360","-90","-1.21","305517971840"
"072520","제넨바이오","KOSDAQ","유통","389","0","0.00","28849482466"
"122310","제노레이","KOSDAQ","의료·정밀기기","6310","-20","-0.32","91834755640"
"361390","제노코","KOSDAQ","통신장비","16030","190","1.20","120237647670"
"187420","제노포커스","KOSDAQ","제약","3900","0","0.00","88757877000"
"225220","제놀루션","KOSDAQ","제약","3605","15","0.42","69180025705"
"123330","제닉","KOSDAQ","화학","3480","-20","-0.57","24360000000"
"159580","제로투세븐","KOSDAQ","유통","5660","70","1.25","113384719760"
"147830","제룡산업","KOSDAQ","금속","4290","70","1.66","85800000000"
"033100","제룡전기","KOSDAQ","IT부품","50800","-500","-0.97","815970377200"
"079370","제우스","KOSDAQ","기계·장비","17070","50","0.29","529460019300"
"054950","제이브이엠","KOSDAQ","기계·장비","30000","0","0.00","362696760000"
"023440","제이스코홀딩스","KOSDAQ","금속","1140","-2","-0.18","61929658680"
"090470","제이스텍","KOSDAQ","반도체","9010","50","0.56","157464111940"
"287410","제이시스메디칼","KOSDAQ","의료·정밀기기","9990","370","3.85","765612111510"
"137950","제이씨케미칼","KOSDAQ","화학","6560","-30","-0.46","146076859840"
"033320","제이씨현시스템","KOSDAQ","유통","4070","40","0.99","77795738240"
"417500","제이아이테크","KOSDAQ","반도체","4680","250","5.64","153432601920"
"204270","제이앤티씨","KOSDAQ","일반전기전자","19460","10","0.05","1125731148360"
"026040","제이에스티나","KOSDAQ","기타제조","1947","-3","-0.15","32132879130"
"452160","제이엔비","KOSDAQ","기계·장비","15830","-480","-2.94","145865075930"
"126880","제이엔케이히터","KOSDAQ","기계·장비","4250","-40","-0.93","98620837750"
"322510","제이엘케이","KOSDAQ","소프트웨어","10560","210","2.03","171026718720"
"033050","제이엠아이","KOSDAQ","출판·매체복제","985","-2","-0.20","32090651870"
"094970","제이엠티","KOSDAQ","IT부품","5410","0","0.00","90607978400"
"418550","제이오","KOSDAQ","기타서비스","23500","-1000","-4.08","741795665500"
"420570","제이투케이바이오","KOSDAQ","화학","13020","10","0.08","72574977300"
"089790","제이티","KOSDAQ","반도체","11040","190","1.75","113883263520"
"052670","제일바이오","KOSDAQ","제약","2080","0","0.00","60588453120"
"199820","제일전기공업","KOSDAQ","일반전기전자","12020","-40","-0.33","133542200000"
"038010","제일테크노스","KOSDAQ","금속","6740","-120","-1.75","60660000000"
"276730","제주맥주","KOSDAQ","음식료·담배","1559","-26","-1.64","91129927869"
"080220","제주반도체","KOSDAQ","반도체","24900","-450","-1.78","857626541700"
"216080","제테마","KOSDAQ","제약","14650","180","1.24","261630819350"
"229000","젠큐릭스","KOSDAQ","제약","3100","-70","-2.21","44699681200"
"082270","젬백스","KOSDAQ","기계·장비","11440","80","0.70","457533350560"
"064800","젬백스링크","KOSDAQ","유통","2635","-5","-0.19","284252250795"
"044060","조광ILI","KOSDAQ","기계·장비","732","0","0.00","70075958688"
"034940","조아제약","KOSDAQ","제약","1583","-107","-6.33","49041066141"
"067000","조이시티","KOSDAQ","디지털컨텐츠","2545","-35","-1.36","177904270070"
"033340","좋은사람들","KOSDAQ","섬유·의류","2110","0","0.00","204565677380"
"036930","주성엔지니어링","KOSDAQ","반도체","36450","450","1.25","1758683777400"
"239340","줌인터넷","KOSDAQ","인터넷","2770","-5","-0.18","74733586180"
"072020","중앙백신","KOSDAQ","제약","10530","-30","-0.28","101705974110"
"000440","중앙에너비스","KOSDAQ","유통","26150","2150","8.96","162839449500"
"051980","중앙첨단소재","KOSDAQ","화학","5580","-110","-1.93","438040808460"
"228760","지노믹트리","KOSDAQ","기타서비스","24800","1550","6.67","595505883200"
"314130","지놈앤컴퍼니","KOSDAQ","제약","7790","130","1.70","116648690820"
"389030","지니너스","KOSDAQ","기타서비스","1892","140","7.99","62963574740"
"043610","지니뮤직","KOSDAQ","디지털컨텐츠","3045","-15","-0.49","176961508710"
"263860","지니언스","KOSDAQ","소프트웨어","11820","-40","-0.34","111635172000"
"303030","지니틱스","KOSDAQ","반도체","1832","-131","-6.67","65486063776"
"036180","지더블유바이텍","KOSDAQ","유통","603","-9","-1.47","55153108575"
"208350","지란지교시큐리티","KOSDAQ","출판·매체복제","3440","-5","-0.15","30404608560"
"144510","지씨셀","KOSDAQ","기타서비스","37950","350","0.93","599623054800"
"358570","지아이이노베이션","KOSDAQ","기타서비스","13260","230","1.77","585304342740"
"382480","지아이텍","KOSDAQ","기계·장비","2920","-30","-1.02","114922848800"
"382800","지앤비에스 에코","KOSDAQ","기계·장비","5590","-30","-0.53","168281427080"
"051160","지어소프트","KOSDAQ","소프트웨어","7550","0","0.00","116831946500"
"053050","지에스이","KOSDAQ","전기·가스·수도","3630","-20","-0.55","108854977110"
"119850","지엔씨에너지","KOSDAQ","일반전기전자","8300","330","4.14","136525944700"
"065060","지엔코","KOSDAQ","섬유·의류","428","0","0.00","46227442832"
"204840","지엘팜텍","KOSDAQ","기타서비스","1230","-55","-4.28","94340254620"
"270520","지오릿에너지","KOSDAQ","기타서비스","2570","-120","-4.46","335702875590"
"311320","지오엘리먼트","KOSDAQ","일반전기전자","12920","-130","-1.00","162980115200"
"388050","지투파워","KOSDAQ","일반전기전자","8320","360","4.52","155662515840"
"219750","지티지웰니스","KOSDAQ","의료·정밀기기","1947","0","0.00","40962261285"
"018120","진로발효","KOSDAQ","음식료·담배","14640","-60","-0.41","96933196800"
"109820","진매트릭스","KOSDAQ","기타서비스","2610","-185","-6.62","53227400400"
"086060","진바이오텍","KOSDAQ","유통","3985","20","0.50","34313189195"
"036890","진성티이씨","KOSDAQ","기계·장비","10130","-10","-0.10","227745374840"
